Name,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pHsulphates,alcohol,quality
Conde de Valdemar Blanco 2018,0.26,0.33,1.1,0.027,46.0,113.0,0.98946,3.35,0.43,11.4,7
Poggio ai Ginepri Bianco 2017,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,3.06,0.41,8.9,6
Kies Grüner Veltliner 2018,0.24,0.33,3.2,0.049,68.0,161.0,0.99324,3.1,0.69,10.2,6
Kalkmergel Riesling 2017,0.27,0.37,7.9,0.047,58.0,215.0,0.99542,3.19,0.48,9.5,6
Weisser Burgunder Tradition 2017,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,7
Sancerre Le MD De Bourgeois 2017,0.23,0.32,1.9,0.038,40.0,118.0,0.99074,3.32,0.53,11.8,7
Crocodile's Lair Kaaimansgat Chardonnay 2018,0.21,0.36,15.7,0.045,68.0,183.0,0.99922,3.25,0.76,9.4,5
Kieselberg GG 2015,0.13,0.4,1.2,0.047,54.0,134.0,0.9932,3.3,0.97,9.8,7
Portal da Calçada Reserva Vinho Verde 2019,0.13,0.27,4.8,0.028,22.0,104.0,0.9948,3.34,0.45,9.2,6
Bordeaux Blanc 2018,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6
Creative Block 2 2018,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7
Sessantenario Malvasia 2014,0.15,0.46,1.6,0.039,38.0,123.0,0.993,3.38,0.51,9.7,6
Gentil 2017,0.22,0.28,12.05,0.058,25.0,125.0,0.99856,3.45,0.45,9.4,5
Gentil 2018,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,7
Novellum Chardonnay 2018,0.28,0.26,2.8,0.039,50.0,118.0,0.9908,3.06,0.59,11.2,6
Piano Maltese Sicillane 2018,0.25,0.35,2.9,0.034,38.0,121.0,0.99008,3.19,0.4,12.8,6
Riva Ranch Chardonnay 2018,0.37,0.14,6.3,0.036,34.0,185.0,0.9944,3.17,0.63,9.8,5
Schiefergestein Bockenauer Riesling Trocken 2016,0.55,0.45,12.0,0.049,27.0,186.0,0.9974,3.17,0.5,9.3,6
Chassagne-Montrachet 1er Cru 'Cailleret' 2012,0.31,0.29,1.4,0.037,33.0,128.0,0.9896,3.12,0.36,12.2,7
Saint-Véran 2016,0.25,0.44,15.8,0.057,39.0,167.0,0.99804,3.14,0.51,9.2,5
Langhe Chardonnay 2018,0.34,0.36,8.9,0.029,44.0,128.0,0.99318,3.28,0.35,11.95,7
Chardonnay 2018,0.27,0.25,8.0,0.053,54.0,202.0,0.9961,3.22,0.43,9.3,5
Loibner Grüner Veltliner Smaragd Vinothekfüllung 2018,0.25,0.32,9.9,0.045,41.0,128.0,0.99636,3.18,0.52,9.6,6
Pratum 2015,0.29,0.23,8.6,0.056,56.0,215.0,0.9967,3.17,0.44,8.8,5
Chenin Blanc 2018,0.29,0.44,3.6,0.197,75.0,183.0,0.9942,3.01,0.38,9.1,5
Côte des Roses Sauvignon Blanc 2019,0.28,0.3,6.6,0.208,60.0,154.0,0.99478,3.1,0.4,9.4,6
La Mar 2016,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6
Chenin Blanc (Free-Run Steen) 2017,0.595,0.1,2.8,0.042,26.0,80.0,0.9932,3.36,0.38,9.3,5
Côte de Rouffach Riesling 2016,0.35,0.46,11.8,0.088,61.0,183.0,0.99786,2.86,0.47,9.0,5
Deep Blue 2018,0.24,0.29,6.8,0.038,54.0,127.0,0.9932,3.33,0.46,11.6,7
Gewürztraminer 2018,0.19,0.3,2.0,0.053,48.0,140.0,0.994,3.18,0.49,9.6,6
Santenay Premier Cru 'Gravières' Blanc 2015,0.34,0.28,12.1,0.049,31.0,149.0,0.99677,3.22,0.49,10.3,5
Iphöfer Scheurebe 2017,0.29,0.16,6.8,0.034,65.0,212.0,0.9955,3.08,0.39,9.0,6
Blanco Sobre Lías 2019,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8
Retsina 2018,0.26,0.51,2.2,0.05,61.0,154.0,0.9929,3.08,0.6,9.8,6
Aulerde Riesling GG 2015,0.14,0.49,1.1,0.038,28.0,99.0,0.9928,3.2,0.72,10.6,6
Châteauneuf-du-Pape La Bernardine Blanc 2016,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6
Cavanera Ripa di Scorciavacca Etna Bianco 2017,0.17,0.36,1.4,0.036,38.0,108.0,0.99006,3.19,0.66,12.0,6
Todo Sobre Mi Chardonnay 2018,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,3.23,0.52,11.8,6
Frühlingsplätzchen Riesling GG 2014,0.2,0.61,16.2,0.043,14.0,103.0,0.9987,3.06,0.36,9.2,6
Exultet Fiano di Avellino 2014,0.38,0.19,4.5,0.038,36.0,119.0,0.99151,3.07,0.42,11.2,6
Franciscus Grüner Veltliner 2018,0.3,0.24,6.6,0.123,35.0,116.0,0.9953,3.07,0.48,9.4,5
Pioneer Block 3 43 Degrees Sauvignon Blanc 2018,0.32,0.32,8.7,0.029,31.0,105.0,0.99146,3.0,0.34,12.3,7
Chardonnay (Barrel Fermented) 2017,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11.0,6
Riesling Trocken 2018,0.41,0.2,12.6,0.032,54.0,136.0,0.99516,2.91,0.43,10.6,6
Viognier 2018,0.17,0.27,2.7,0.049,28.0,104.0,0.99224,3.46,0.55,10.3,6
Cecu d'la Biunda Roero Arneis 2018,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,3.17,0.39,9.4,6
Pinot Grigio 2019,0.19,0.6,4.0,0.037,6.0,122.0,0.99255,2.92,0.59,10.4,4
Allnatt Vieilles Vignes Chardonnay 2018,0.22,0.32,1.2,0.024,29.0,97.0,0.98823,3.2,0.46,13.05,7
Manar dos Seixaş 2017,0.34,0.46,4.7,0.029,21.0,94.0,0.991,3.29,0.62,12.3,6
R Chardonnay Nature 2018,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,5
Vouvray Classic 2018,0.25,0.31,3.2,0.03,32.0,150.0,0.99014,3.18,0.31,12.0,6
Riesling Vom Kalkstein Trocken 2018,0.24,0.29,13.3,0.039,49.0,130.0,0.9952,3.33,0.46,11.0,8
Pouilly-Fumé 2018,0.6,0.2,9.9,0.07,21.0,174.0,0.9971,3.03,0.54,9.1,5
Gorgorito Verdejo 2019,0.3,0.24,6.6,0.123,35.0,116.0,0.9953,3.07,0.48,9.4,5
Benchmark Chardonnay 2018,0.37,0.28,1.9,0.024,64.0,106.0,0.98993,3.45,0.6,12.6,8
Iglič Furmint 2016,0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,6
Chardonnay Reserva 2018,0.28,0.45,7.5,0.045,46.0,203.0,0.99573,3.26,0.46,9.2,6
Riesling Eisquell 2019,0.18,0.28,1.3,0.034,9.0,94.0,0.99092,3.21,0.52,11.2,6
Chardonnay 2017,0.24,0.36,8.4,0.042,42.0,123.0,0.99473,3.34,0.52,10.9,6
Zeltinger Himmelreich Riesling Kabinett 2015,0.29,0.67,8.1,0.037,53.0,166.0,0.9966,2.9,0.41,8.9,6
Bianco di Custoza 2019,0.22,0.38,8.0,0.043,46.0,152.0,0.9934,3.12,0.32,11.5,7
Sauvignon Blanc 2019,0.22,0.4,1.85,0.031,25.0,111.0,0.98966,3.03,0.3,11.8,7
Pinot Grigio 2018,0.15,0.34,1.1,0.035,31.0,93.0,0.99096,3.07,0.72,11.3,7
The Pavillion Chenin Blanc 2019,0.32,0.29,1.5,0.038,32.0,144.0,0.99296,3.2,0.55,10.8,5
Estate Chardonnay 2018,0.27,0.26,12.1,0.046,43.0,127.0,0.9951,3.16,0.37,10.8,6
Estate Rauenthal Riesling 2018,0.35,0.29,14.4,0.044,54.0,177.0,0.9991,3.17,0.58,8.9,6
Spring Fever Chardonnay 2018,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,5
Circumstance Sauvignon Blanc 2018,0.17,0.36,1.7,0.042,14.0,61.0,0.99144,3.22,0.54,10.8,6
As Sortes Val do Bibei Godello 2014,0.19,0.35,1.5,0.037,37.0,107.0,0.99006,3.18,0.68,12.0,7
Morillon Muschelkalk 2017,0.19,0.32,7.9,0.042,30.0,130.0,0.99456,3.4,0.39,10.5,6
Bianco Passivento 2018,0.24,0.47,6.3,0.069,35.0,182.0,0.99391,3.11,0.46,9.73333333333333,5
Chablis 2018,0.15,0.44,12.6,0.052,65.0,158.0,0.99688,3.26,0.7,10.3,7
Steffensberg 2014,0.17,0.4,5.5,0.037,34.0,161.0,0.9935,3.05,0.62,11.5,4
Chenin Blanc 2018,0.25,0.21,15.55,0.039,28.0,159.0,0.9982,3.48,0.64,9.6,6
Vermentino 2019,0.33,0.3,7.2,0.041,42.0,168.0,0.99331,3.22,0.49,11.1,6
Goldriesling Trocken 2018,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6
Deidesheimer Kalkofen GG 2016,0.34,0.27,5.2,0.06,14.0,169.0,0.99252,3.27,0.57,11.6,6
Pouilly-Fuissé 'Les Chailloux' 2017,0.28,0.27,3.9,0.043,52.0,158.0,0.99202,3.35,0.44,10.7,7
Chardonnay 2018,0.25,0.49,1.1,0.042,35.0,156.0,0.9917,3.13,0.55,11.3,5
Nussberg Grüner Veltliner 2018,0.28,0.36,8.0,0.045,28.0,123.0,0.9928,3.02,0.37,11.4,6
Rully 2016,0.16,0.25,14.3,0.044,27.0,149.0,0.998,2.91,0.46,9.2,6
Kirchspiel Riesling GG 2017,0.67,0.09,1.0,0.02,5.0,9.0,0.98722,3.3,0.34,13.6,5
Maximin Grünhäuser Herrenberg Riesling Kabinett 2018,0.15,0.27,11.0,0.035,46.0,116.0,0.99602,3.12,0.38,9.1,6
SL Riesling Trocken 2017,0.21,0.37,1.2,0.028,20.0,93.0,0.99244,3.2,0.37,11.5,5
Chardonnay Piemonte Costebianche 2017,0.19,0.21,1.8,0.049,35.0,163.0,0.9924,3.31,0.5,10.3,6
Cellar Selection Bosstok Chenin Blanc 2018,0.28,0.3,12.9,0.033,31.0,177.0,0.99479,3.12,0.39,11.2,6
Chassagne-Montrachet 1er Cru 'Cailleret' 2013,0.44,0.24,12.1,0.056,68.0,210.0,0.99718,3.05,0.5,9.5,5
Sauvignon Blanc Trocken 2019,0.26,0.29,2.2,0.043,35.0,175.0,0.9918,3.38,0.43,11.6,6
Bin 311 Chardonnay 2018,0.69,0.09,7.6,0.044,34.0,144.0,0.9948,3.26,0.38,10.1,6
Chardonnay 2018,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,3.06,0.41,8.9,6
Timpa del Principe 2017,0.46,0.18,3.3,0.054,18.0,143.0,0.99392,3.12,0.51,10.8,6
The Site Chardonnay 2015,0.17,0.29,1.1,0.041,32.0,92.0,0.99036,3.26,0.57,11.2,6
Family Vineyards Chardonnay 2016,0.27,0.25,5.0,0.024,52.0,99.0,0.9925,2.87,0.49,11.4,5
Kalkundkiesel 2018,0.37,0.24,6.1,0.032,19.0,86.0,0.98934,3.04,0.26,13.4,8
Petit Salé de Villeneuve 2019,0.24,0.28,1.8,0.028,39.0,132.0,0.99182,3.34,0.46,11.4,5
Verdicchio Dei Castelli Di Jesi Classico Le Vele 2019,0.28,0.28,12.2,0.042,52.0,139.0,0.99522,3.03,0.56,10.4,6
Aurora Gavi 2017,0.18,0.74,11.9,0.046,54.0,168.0,0.9978,3.58,0.68,10.1,5
Grüner Veltliner Federspiel Weissenkirchen 2019,0.3,0.28,2.2,0.042,21.0,177.0,0.99166,3.2,0.57,11.4,5
Côtes de Gascogne Les 4 Réserve 2017,0.27,0.4,10.0,0.039,74.0,227.0,0.99582,3.18,0.5,9.4,5
Réserve Languedoc Blanc 2018,0.33,0.26,5.0,0.027,46.0,143.0,0.9924,3.25,0.43,11.2,7
Riesling Terrassen 2017,0.28,0.3,3.9,0.026,36.0,105.0,0.98963,3.26,0.58,12.75,6
Weissburgunder 2018,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6
Estro Chardonnay 2018,0.33,0.19,5.6,0.042,22.0,143.0,0.99425,3.15,0.63,9.9,5
Chablis Grand Cru 'Les Clos' 2016,0.43,0.11,1.1,0.029,6.0,51.0,0.99076,3.51,0.48,11.2,4
Chardonnay 2019,0.31,0.3,2.4,0.038,30.0,83.0,0.98867,3.09,0.36,12.8,7
Chardonnay 2016,0.385,0.25,3.7,0.031,38.0,122.0,0.99128,3.2,0.63,11.2,6
Sangre de Toro Blanco 2017,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,5
Sauvignon Blanc Trocken 2019,0.26,0.41,9.2,0.042,41.0,162.0,0.9944,3.1,0.38,12.0,7
Solaz Verdejo 2018,0.32,0.26,12.0,0.049,63.0,170.0,0.9961,3.14,0.55,9.9,6
Angimbé (Tenuta Ficuzza) 2018,0.31,0.27,7.4,0.049,48.0,169.0,0.99323,3.27,0.45,11.1,6
Rachel's Chenin Blanc 2019,0.12,0.36,2.2,0.037,18.0,111.0,0.9919,3.41,0.82,11.9,8
Douro Fabelhaft Branco 2018,0.24,0.29,2.2,0.037,37.0,102.0,0.992,3.27,0.64,11.0,7
Saar Alte Reben Riesling 2015,0.275,0.24,7.4,0.038,28.0,114.0,0.99313,3.38,0.51,11.0,6
Geheimrat J Riesling Spätlese Trocken 2015,0.3,0.33,3.5,0.033,25.0,116.0,0.99057,3.2,0.44,11.7,6
Riesling Trocken 2015,0.2,0.49,11.8,0.048,46.0,212.0,0.9968,3.09,0.46,10.0,7
Weisze Freyheit 2017,0.25,0.32,1.5,0.047,27.0,132.0,0.9933,3.26,0.44,10.5,5
Vulcanico Falanghina 2017,0.32,0.58,16.75,0.05,43.0,163.0,0.9999,3.15,0.54,9.2,5
Sciare di Est Insolia 2017,0.22,0.43,6.4,0.042,34.0,115.0,0.99293,3.05,0.51,10.8,6
Corte del Lupo Bianco 2018,0.345,0.34,1.0,0.068,32.0,143.0,0.99138,3.24,0.4,10.1,5
Dorna Velha Branco 2017,0.3,0.21,1.1,0.032,31.0,111.0,0.9889,2.97,0.42,12.2,6
Vernaccia di San Gimignano 2018,0.27,0.49,1.2,0.044,35.0,126.0,0.99,3.13,0.48,12.1,7
Le G de Guiraud Bordeaux Blanc Sec 2019,0.31,0.3,0.9,0.037,28.0,152.0,0.992,3.54,0.56,10.1,6
Sauvignon Blanc 2018,0.27,0.3,13.0,0.047,69.0,160.0,0.99705,3.16,0.5,9.6,6
Rossj-Bass Langhe 2018,0.24,0.21,2.2,0.039,31.0,100.0,0.99098,3.69,0.62,11.7,6
Sauvignon Blanc 2019,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,5
Chardonnay 2018,0.18,0.22,1.5,0.043,45.0,155.0,0.99238,3.19,0.48,10.2,5
Vulkanfelsen Grauer Burgunder Spätlese Trocken 2014,0.46,0.2,16.7,0.046,50.0,184.0,0.99898,3.08,0.56,9.4,5
Chardonnay 2016,0.23,0.2,11.4,0.044,45.0,131.0,0.99604,2.96,0.51,9.7,6
Gaisböhl G.C 2016,0.31,0.23,3.3,0.052,34.0,113.0,0.99429,3.16,0.48,8.4,5
Pinot Grigio 2019,0.21,0.36,15.7,0.045,68.0,183.0,0.99922,3.25,0.76,9.4,5
1769 Clos Venturi Blanc 2018,0.27,0.16,9.0,0.053,32.0,111.0,0.99474,3.36,0.37,10.4,6
Grauburgunder Herrenstück 2016,0.27,0.46,8.7,0.048,39.0,197.0,0.9974,3.14,0.59,9.6,6
Domaine Sainte Barbe Les Tilles Mâcon-Villages 2018,0.44,0.18,7.7,0.096,28.0,210.0,0.99771,3.56,0.72,9.2,5
Chardonnay 2018,0.3,0.35,2.8,0.038,10.0,164.0,0.9912,3.09,0.53,12.0,6
Albariño (O Rosal) 2019,0.36,0.49,2.9,0.03,16.0,94.0,0.9902,3.1,0.49,12.1,7
Berg Rottland Riesling 2017,0.16,0.44,1.2,0.051,39.0,122.0,0.99058,3.11,0.75,11.3,7
Chardonnay 2018,0.27,0.34,5.0,0.04,18.0,56.0,0.99084,3.06,0.48,12.4,6
Dry Riesling 2012,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,6
Parapli Chardonnay 2015,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,6
Colección Torrontés 2019,0.16,0.46,1.8,0.046,23.0,130.0,0.99587,3.04,0.67,9.6,5
Terroir d'Altitude Chardonnay 2017,0.22,0.32,10.4,0.043,63.0,201.0,0.997,3.11,0.53,9.5,6
Ingenuity White Blend 2017,0.23,0.35,10.7,0.037,34.0,145.0,0.9981,3.09,0.32,9.7,5
Bourgogne Chardonnay (La Vignée) 2018,0.22,0.36,5.5,0.029,30.0,105.0,0.99206,3.2,0.47,11.8,6
Puglia I Muri Bianco 2018,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
Viognier 2018,0.23,0.49,0.9,0.057,15.0,73.0,0.9928,3.07,0.38,10.4,6
Beaune 1er Cru 'Clos des Mouches' Blanc 2017,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,6
Atrium Chardonnay 2017,0.21,0.31,11.4,0.039,46.0,165.0,0.99795,3.41,0.44,9.8,7
Wiltinger Riesling 2017,0.38,0.29,13.6,0.041,30.0,137.0,0.99461,3.02,0.96,12.1,6
White Block Chardonnay 2018,0.31,0.18,7.7,0.043,57.0,200.0,0.99566,3.17,0.44,9.4,6
Kallstadter Saumagen Riesling Kabinett Trocken 2018,0.15,0.39,1.8,0.043,21.0,159.0,0.9948,3.52,0.47,10.0,5
The River Garden Flower Collection Unwooded Chardonnay 2018,0.18,0.3,2.0,0.038,39.0,190.0,0.9914,3.32,0.37,12.2,6
Riesling Alsace Grand Cru Steingrubler 2016,0.23,0.36,1.5,0.03,74.0,121.0,0.98976,3.24,0.99,12.1,7
T.N. 76 Weissburgunder 2013,0.19,0.38,5.1,0.019,22.0,82.0,0.98961,3.05,0.36,12.5,6
Bianco Passivento 2019,0.19,0.56,17.3,0.055,47.0,169.0,1.00047,3.07,0.67,9.3,6
Zeltinger Sonnenuhr Riesling Auslese*** 2014,0.3,0.3,1.2,0.029,25.0,93.0,0.98742,3.31,0.4,13.6,7
Uvam Pinot Grigio 2019,0.28,0.66,9.1,0.039,26.0,159.0,0.9965,3.66,0.55,10.8,5
Vire-Clessé 2016,0.25,0.3,4.1,0.054,23.0,116.0,0.994,2.99,0.38,9.4,6
Sauvignon Blanc 2019,0.27,0.17,8.4,0.044,60.0,198.0,0.99578,3.21,0.47,9.4,5
Gewürztraminer 2016,0.32,0.31,2.7,0.049,25.0,153.0,0.99067,3.44,0.73,12.2,7
Les Princes Abbés Gewürztraminer Alsace 2017,0.24,0.22,11.9,0.05,65.0,179.0,0.99659,3.06,0.58,9.3,6
Danger 380 Volts 2019,0.37,0.28,13.8,0.031,34.0,137.0,0.9948,3.1,0.37,11.6,6
Sauvignon Blanc Tradition 2017,0.66,0.0,13.0,0.033,32.0,75.0,0.99551,3.15,0.5,10.7,6
Riesling Trocken Blauschiefer 2018,0.26,0.58,7.9,0.041,62.0,180.0,0.9966,3.07,0.38,9.0,5
Pošip Majstor 2016,0.23,0.34,2.7,0.032,24.0,121.0,0.9902,3.14,0.38,12.4,7
Barón de Chirel Verdejo Viñas Centenarias 2016,0.41,0.31,1.6,0.042,18.0,101.0,0.99195,3.13,0.41,10.5,5
Kaitui Sauvignon Blanc 2019,0.27,0.37,7.9,0.047,58.0,215.0,0.99542,3.19,0.48,9.5,6
Wachstum Bodenstein Grüner Veltliner 2016,0.18,0.74,11.9,0.046,54.0,168.0,0.9978,3.58,0.68,10.1,5
Lügle 2015,0.16,0.3,7.4,0.05,58.0,152.0,0.99612,3.12,0.37,9.5,6
Les Deux Tours Sauvignon Blanc 2018,0.27,0.61,12.0,0.046,64.0,179.0,0.9982,3.07,0.46,8.9,5
Grillo 2019,0.48,0.48,1.8,0.035,35.0,96.0,0.99121,3.49,0.74,12.2,6
Jesuitengarten Riesling GG 2014,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,8
120 Reserva Especial Chardonnay 2018,0.28,0.23,6.0,0.051,50.0,162.0,0.994,3.15,0.52,10.2,5
Mâcon-Bussières Les Clos 2018,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6
Chenin Blanc 2018,0.38,0.34,8.3,0.052,44.0,168.0,0.99627,3.11,0.52,9.2,5
Puiten Pinot Grigio 2015,0.36,0.58,15.0,0.044,42.0,115.0,0.9978,3.15,0.51,9.0,5
Mercurey 'En Pierrelet' Blanc 2016,0.18,0.24,4.8,0.041,30.0,113.0,0.99445,3.42,0.4,9.4,6
Berg 2017,0.21,0.32,10.65,0.053,53.0,145.0,0.9972,3.17,0.48,10.2,6
Gundian Albariño 2017,0.25,0.34,12.85,0.048,30.0,161.0,0.9986,3.44,0.47,9.5,6
Santa Digna Reserva Sauvignon Blanc 2018,0.33,0.39,12.4,0.065,29.0,119.0,0.9974,3.16,0.39,9.4,5
Le Classique Chablis 2016,0.26,0.41,2.2,0.049,29.0,111.0,0.9941,2.96,0.44,10.0,5
Chardonnay 2018,0.31,0.26,4.8,0.037,36.0,148.0,0.9928,3.21,0.41,10.4,6
Laubenheimer St. Remigiusberg Riesling Trocken 2016,0.1,0.24,6.0,0.039,25.0,107.0,0.99511,3.59,0.49,10.5,7
Bastei GG 2014,0.13,0.29,13.9,0.056,33.0,95.0,0.99702,3.17,0.39,9.4,6
Lugana 2019,0.52,0.26,5.7,0.038,27.0,130.0,0.99,3.11,0.27,13.0,7
Leithaberg Chardonnay 2017,0.28,0.22,1.8,0.034,32.0,116.0,0.9898,3.36,0.44,12.6,6
Grüner Veltliner Federspiel Pichlpoint 2018,0.21,0.29,1.5,0.046,35.0,107.0,0.99123,3.15,0.45,11.3,6
Prestige Lugana 2019,0.35,0.44,6.5,0.056,31.0,161.0,0.9952,3.14,0.44,9.5,5
Adrianna Vineyard White Bones Chardonnay 2016,0.39,0.28,4.9,0.035,36.0,109.0,0.9918,3.19,0.58,12.2,7
Riesling 2017,0.2,0.24,1.4,0.033,65.0,169.0,0.99043,3.59,0.56,12.3,7
Grauburgunder Trocken 2019,0.32,0.5,2.6,0.049,17.0,155.0,0.9927,3.22,0.64,10.0,6
The King's Bastard Chardonnay 2017,0.44,0.13,7.0,0.025,28.0,173.0,0.9913,3.33,0.48,12.5,6
Frühtau Riesling Trocken 2018,0.76,0.03,2.7,0.043,27.0,93.0,0.9932,3.34,0.38,9.2,5
Steinterrassen - Riesling Federspiel 2018,0.26,0.56,11.9,0.043,64.0,226.0,0.997,3.02,0.63,9.3,5
Halgans Riesling Trocken 2017,0.21,0.5,11.6,0.042,45.0,153.0,0.9972,3.15,0.43,8.8,5
Pecan Stream Chenin Blanc 2018,0.21,0.34,1.2,0.06,26.0,111.0,0.9931,3.51,0.47,10.7,6
Chardonnay 2018,0.25,0.39,18.95,0.038,42.0,155.0,0.9999,2.97,0.47,9.0,6
La Femme Soleil 2018,0.33,0.31,7.7,0.04,29.0,135.0,0.99226,3.11,0.57,12.3,5
Graacher Himmelreich Riesling Spätlese 2015,0.255,0.24,1.7,0.039,138.5,272.0,0.99452,3.53,0.53,9.6,4
Otto Soave 2016,0.16,0.42,1.0,0.036,29.0,113.0,0.9908,3.18,0.52,11.0,6
Adrianna Vineyard White Stones Chardonnay 2012,0.27,0.24,4.6,0.098,36.0,127.0,0.99412,3.15,0.49,9.6,6
Reiterpfad G.C 2014,0.23,0.49,7.1,0.05,67.0,210.0,0.9951,3.23,0.34,9.5,5
Alvarinho 2018,0.41,0.24,6.8,0.057,41.0,163.0,0.9949,3.2,0.41,9.9,6
Les Princes Abbés Pinot Blanc Alsace 2017,0.16,0.21,6.7,0.055,43.0,157.0,0.99384,3.15,0.52,10.8,6
Chardonnay 2018,0.21,0.42,1.2,0.045,24.0,126.0,0.99234,3.09,0.87,10.9,6
Aconcagua Costa Chardonnay 2014,0.26,0.49,5.0,0.028,32.0,107.0,0.9936,3.24,0.54,10.8,6
Kiechlinsberger Vulkanfelsen Grauerburgunder Trocken 2018,0.26,0.21,12.5,0.034,36.0,152.0,0.9972,3.28,0.43,9.5,6
Bandol Blanc 2018,0.29,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3,5
Rías Baixas Albariño 2017,0.22,0.39,1.2,0.049,26.0,152.0,0.99346,3.5,0.47,10.0,6
Riesling Forster 2018,0.17,0.36,8.2,0.028,44.0,111.0,0.99272,3.14,0.41,12.4,6
Sauvignon Blanc 2017,0.25,0.44,11.6,0.041,48.0,195.0,0.9968,3.18,0.52,9.5,5
Montmains Chablis Premier Cru 2016,0.32,0.33,7.4,0.037,25.0,95.0,0.99268,3.25,0.49,11.1,6
Lighea 2019,0.19,0.35,1.7,0.036,33.0,101.0,0.99315,3.21,0.54,10.8,7
Schiefersteil Riesling 2017,0.3,0.26,18.95,0.053,36.0,174.0,0.99976,3.2,0.5,10.4,5
Weissburgunder 2018,0.46,0.24,11.5,0.051,56.0,171.0,0.99588,3.08,0.56,9.8,6
Chablis Grand Cru 'Les Preuses' 2015,0.22,0.28,7.2,0.06,41.0,132.0,0.9935,3.08,0.59,11.3,6
Steirische Klassik Weissburgunder 2018,0.44,0.36,2.5,0.03,12.0,73.0,0.99201,3.22,0.48,10.8,6
Terra Montosa Riesling 2017,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
Dry Riesling 2017,0.23,0.26,7.2,0.041,21.0,90.0,0.99509,3.22,0.55,9.5,6
Sauvignon Blanc 2018,0.18,0.38,1.4,0.038,35.0,111.0,0.9918,3.32,0.59,11.2,7
JT Blanc Costières de Nîmes 2016,0.17,0.37,6.9,0.059,47.0,128.0,0.99322,3.08,0.46,11.0,7
Chardonnay 2018,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5
Zeltinger Sonnenuhr Riesling Spätlese 2015,0.23,0.2,7.5,0.05,44.0,179.0,0.99504,3.18,0.48,9.53333333333333,5
Efeso Bianco 2017,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,3
Tannenberg Sauvignon Blanc 2016,0.19,0.71,17.5,0.042,21.0,114.0,0.99784,2.85,0.5,9.5,6
Alvarinho 2019,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7
Pietragrande Bianco 2018,0.24,0.49,5.8,0.053,25.0,120.0,0.9942,3.01,0.98,10.5,6
EDDA Bianco 2018,0.28,0.39,10.2,0.045,59.0,209.0,0.9972,3.16,0.63,9.6,6
Alte Reben Riesling Trocken 2017,0.1,0.27,1.3,0.047,21.0,100.0,0.9928,3.27,0.46,9.5,5
Bechtheimer Riesling 2016,0.46,0.23,13.7,0.045,44.0,192.0,0.9981,3.11,0.53,9.4,5
Chardonnay 2013,0.22,0.38,10.3,0.059,28.0,99.0,0.9967,3.12,0.47,10.0,6
Riesling Tradition 2018,0.22,0.34,1.2,0.036,32.0,96.0,0.98961,3.06,0.74,11.6,6
Private Collection Chardonnay 2017,0.3,0.3,8.1,0.05,40.0,188.0,0.99652,3.15,0.49,9.1,6
Mongris Collio Pinot Grigio 2018,0.26,0.49,5.0,0.028,32.0,107.0,0.9936,3.24,0.54,10.8,6
